Cap_do,Cap_up,demand_th,demand_el,pv,wind
0.025,0.017,0.147,0.614,0.0,0.278
0.037,0.043,0.15,0.614,0.0,0.281
0.042,0.01,0.157,0.558,0.0,0.283
0.045,0.017,0.174,0.532,0.0,0.283
0.046,0.039,0.218,0.52,0.0,0.252
0.01,0.003,0.299,0.499,0.0,0.186
0.024,0.02,0.354,0.46,0.0,0.186
0.042,0.008,0.332,0.456,0.0,0.185
0.008,0.323,0.306,0.465,0.009,0.185
0.017,0.159,0.285,0.495,0.036,0.185
0.089,0.148,0.263,0.527,0.057,0.514
0.008,0.069,0.25,0.567,0.076,0.514
0.068,0.163,0.244,0.579,0.035,0.513
0.058,0.114,0.244,0.567,0.027,0.653
0.028,0.129,0.247,0.563,0.021,0.788
0.037,0.295,0.254,0.564,0.005,0.787
0.007,0.033,0.268,0.602,0.0,0.932
0.023,0.203,0.286,0.663,0.0,0.99
0.022,0.002,0.297,0.679,0.0,0.873
0.069,0.319,0.284,0.669,0.0,0.93
0.037,0.114,0.263,0.645,0.0,0.929
0.027,0.298,0.218,0.644,0.0,0.988
0.057,0.019,0.151,0.659,0.0,1.0
0.071,0.004,0.144,0.617,0.0,0.927
0.002,0.022,0.173,0.577,0.0,0.984
0.039,0.03,0.177,0.556,0.0,0.995
0.01,0.023,0.185,0.543,0.0,0.981
0.038,0.018,0.198,0.538,0.0,0.968
0.014,0.017,0.233,0.548,0.0,0.996
0.051,0.022,0.309,0.572,0.0,0.868
0.044,0.011,0.362,0.626,0.0,0.869
0.019,0.012,0.35,0.711,0.0,0.646
0.045,0.082,0.329,0.767,0.037,0.648
0.009,0.069,0.311,0.796,0.207,0.509
0.022,0.166,0.289,0.821,0.294,0.182
0.054,0.052,0.276,0.844,0.476,0.326
0.03,0.012,0.267,0.847,0.406,0.327
0.055,0.102,0.266,0.836,0.558,0.184
0.037,0.209,0.27,0.822,0.05,0.185
0.04,0.243,0.279,0.817,0.014,0.186
0.049,0.169,0.29,0.833,0.0,0.03
0.015,0.151,0.306,0.87,0.0,0.005
0.003,0.087,0.319,0.841,0.0,0.005
0.001,0.19,0.308,0.839,0.0,0.005
0.015,0.145,0.287,0.79,0.0,0.005
0.058,0.102,0.246,0.767,0.0,0.03
0.049,0.025,0.177,0.763,0.0,0.03
0.014,0.008,0.17,0.705,0.0,0.005
0.016,0.04,0.166,0.665,0.0,0.005
0.059,0.003,0.17,0.637,0.0,0.005
0.005,0.038,0.177,0.625,0.0,0.005
