Cap_do,Cap_up
"0,0379","0,1356"
"0,0884","0,0904"
"0,2898","0,1582"
"0,183","0,0226"
"0,1355","0,0452"
"0,1416","0,0678"
"0,0225","0,226"
"0,2135","0,1582"
"0,164","1,5075"
"0,519","0,4413"
"0,3269","0,9989"
"0,0293","1,632"
"0,3141","0,9348"
"0,622","0,4272"
"0,563","1,411"
"0,206","0,918"
"0,163","1,668"
"0,0544","0,171"
"0,1064","0,336"
"0,2422","0,332"
"0,3456","0,7935"
"0,368","0,453"
"0,273","0,113"
"0,4662","0,0452"
"0,164","0,1808"
"0,0882","0,0904"
"0,2192","0,226"
"0,1701","0,0452"
"0,0624","0,0452"
"0,146","0,0904"
"0,1778","0,1582"
"0,2532","0,2034"
"0,0721","0,8694"
"0,42","0,735"
"0,078","0,1211"
"0,2359","0,9304"
"0,431","1,071"
"0,0962","0,4376"
"0,1458","0,5425"
"0,3528","0,2436"
"0,0578","0,7434"
"0,133","0,7806"
"0,1044","0,2602"
"0,0544","0,651"
"0,0981","0,4864"
"0,3472","0,554"
"0,3353","0,1582"
"0,1771","0,226"
"0,0562","0,0678"
"0,2366","0,0678"
"0,0326","0,0452"
"0,0277","0,113"
"0,1572","0,1808"
"0,069","0,1582"
"0,219","0,1808"
"0,2925","0,1808"
"0,1587","1,5192"
"0,6405","1,674"
"0,2607","0,6492"
"0,126","1,264"
"0,5216","0,6972"
"0,3206","0,7252"
"0,102","0,3698"
"0,0852","0,1976"
"0,2655","1,2156"
"0,359","0,8064"
"0,3","0,3896"
"0,2387","0,8096"
"0,2","0,943"
"0,5148","1,6875"
"0,1968","0,0678"
"0,2128","0,1582"
"0,1161","0,0678"
"0,0412","0,1582"
"0,2349","0,0226"
"0,1855","0,0452"
"0,0324","0,0452"
"0,0692","0,2034"
"0,0916","0,1356"
"0,259","0,113"
"0,1632","0,856"
"0,405","0,7935"
"1,1223","0,8659"
"1,067","1,512"
"0,5299","0,325"
"0,393","0,5466"
"0,1896","1,5512"
"0,231","1,9422"
"0,1561","0,8632"
"0,1869","0,8632"
"0,192","0,4316"
"0,1992","1,7272"
"0,0918","1,034"
"0,0862","0,8108"
"0,1685","0,2034"
"0,2107","0,0226"
"0,229","0,1582"
"0,23","0,113"
"0,0669","0,113"
"0,223","0,0904"
"0,229","0,1808"
"0,0944","0,226"
"0,0904","0,1356"
"0,1494","0,1582"
"0,1918","0,8304"
"0,466","0,1832"
"0,5229","0,5912"
"0,3521","0,0821"
"0,2436","0,6984"
"0,093","0,7326"
"0,292","1,011"
"0,2212","0,9396"
"0,294","0,2088"
"0,1855","0,4124"
"0,429","0,4385"
"0,2635","0,2742"
"0,2624","0,457"
"0,142","0,6246"
"0,075","0,2034"
"0,2241","0,1808"
"0,28","0,0452"
"0,0459","0,0678"
"0,2436","0,0226"
